time,Trabajo grupal
Mon 00:00:00,139.18772088502678
Mon 00:05:00,139.18772088502678
Mon 00:10:00,139.18772088502678
Mon 00:15:00,139.18772088502678
Mon 00:20:00,130.0089433726834
Mon 00:25:00,130.0089433726834
Mon 00:30:00,130.0089433726834
Mon 00:35:00,130.0089433726834
Mon 00:40:00,130.0089433726834
Mon 00:45:00,130.0089433726834
Mon 00:50:00,130.0089433726834
Mon 00:55:00,130.0089433726834
Mon 01:00:00,130.0089433726834
Mon 01:05:00,147.55242946973382
Mon 01:10:00,147.55242946973382
Mon 01:15:00,154.3434150327625
Mon 01:20:00,163.56859205232476
Mon 01:25:00,163.56859205232476
Mon 01:30:00,170.8953036039121
Mon 01:35:00,170.8953036039121
Mon 01:40:00,170.8953036039121
Mon 01:45:00,170.8953036039121
Mon 01:50:00,170.8953036039121
Mon 01:55:00,170.8953036039121
Mon 02:00:00,185.76146453314573
Mon 02:05:00,185.76146453314573
Mon 02:10:00,185.76146453314573
Mon 02:15:00,201.68259081960656
Mon 02:20:00,201.68259081960656
Mon 02:25:00,201.68259081960656
Mon 02:30:00,201.68259081960656
Mon 02:35:00,201.68259081960656
Mon 02:40:00,193.32823509326707
Mon 02:45:00,193.32823509326707
Mon 02:50:00,193.32823509326707
Mon 02:55:00,193.32823509326707
Mon 03:00:00,181.84068419135588
Mon 03:05:00,171.54126210332748
Mon 03:10:00,171.54126210332748
Mon 03:15:00,171.54126210332748
Mon 03:20:00,162.61045545552625
Mon 03:25:00,162.61045545552625
Mon 03:30:00,162.61045545552625
Mon 03:35:00,162.61045545552625
Mon 03:40:00,168.89973643078292
Mon 03:45:00,168.89973643078292
Mon 03:50:00,168.89973643078292
Mon 03:55:00,168.89973643078292
Mon 04:00:00,168.89973643078292
Mon 04:05:00,168.89973643078292
Mon 04:10:00,168.89973643078292
Mon 04:15:00,168.89973643078292
Mon 04:20:00,168.89973643078292
Mon 04:25:00,168.89973643078292
Mon 04:30:00,168.89973643078292
Mon 04:35:00,168.89973643078292
Mon 04:40:00,168.89973643078292
Mon 04:45:00,168.89973643078292
Mon 04:50:00,168.89973643078292
Mon 04:55:00,168.89973643078292
Mon 05:00:00,159.8159689238138
Mon 05:05:00,159.8159689238138
Mon 05:10:00,159.8159689238138
Mon 05:15:00,159.8159689238138
Mon 05:20:00,159.8159689238138
Mon 05:25:00,159.8159689238138
Mon 05:30:00,173.1928471162382
Mon 05:35:00,173.1928471162382
Mon 05:40:00,173.1928471162382
Mon 05:45:00,184.2153524312736
Mon 05:50:00,184.2153524312736
Mon 05:55:00,184.2153524312736
Mon 06:00:00,167.39742330140604
Mon 06:05:00,167.39742330140604
Mon 06:10:00,167.39742330140604
Mon 06:15:00,167.39742330140604
Mon 06:20:00,167.39742330140604
Mon 06:25:00,167.39742330140604
Mon 06:30:00,167.39742330140604
Mon 06:35:00,167.39742330140604
Mon 06:40:00,167.39742330140604
Mon 06:45:00,167.39742330140604
Mon 06:50:00,167.39742330140604
Mon 06:55:00,167.39742330140604
Mon 07:00:00,167.39742330140604
Mon 07:05:00,167.39742330140604
Mon 07:10:00,167.39742330140604
Mon 07:15:00,156.06933069963208
Mon 07:20:00,145.9735265765155
Mon 07:25:00,140.58111030631534
Mon 07:30:00,140.58111030631534
Mon 07:35:00,140.58111030631534
Mon 07:40:00,140.58111030631534
Mon 07:45:00,140.58111030631534
Mon 07:50:00,140.58111030631534
Mon 07:55:00,140.58111030631534
Mon 08:00:00,140.58111030631534
Mon 08:05:00,140.58111030631534
Mon 08:10:00,140.58111030631534
Mon 08:15:00,140.58111030631534
Mon 08:20:00,140.58111030631534
Mon 08:25:00,140.58111030631534
Mon 08:30:00,150.6416281623105
Mon 08:35:00,150.6416281623105
Mon 08:40:00,150.6416281623105
Mon 08:45:00,145.33084272256346
Mon 08:50:00,137.07101595470445
Mon 08:55:00,137.07101595470445
Mon 09:00:00,137.07101595470445
Mon 09:05:00,137.07101595470445
Mon 09:10:00,137.07101595470445
Mon 09:15:00,137.07101595470445
Mon 09:20:00,137.07101595470445
Mon 09:25:00,137.07101595470445
Mon 09:30:00,137.07101595470445
Mon 09:35:00,137.07101595470445
Mon 09:40:00,129.51887687882189
Mon 09:45:00,129.51887687882189
Mon 09:50:00,119.91321489720845
Mon 09:55:00,112.42282978563485
Mon 10:00:00,112.42282978563485
Mon 10:05:00,112.42282978563485
Mon 10:10:00,112.42282978563485
Mon 10:15:00,112.42282978563485
Mon 10:20:00,112.42282978563485
Mon 10:25:00,112.42282978563485
Mon 10:30:00,112.42282978563485
Mon 10:35:00,112.42282978563485
Mon 10:40:00,112.42282978563485
Mon 10:45:00,112.42282978563485
Mon 10:50:00,112.42282978563485
Mon 10:55:00,112.42282978563485
Mon 11:00:00,112.42282978563485
Mon 11:05:00,112.42282978563485
Mon 11:10:00,94.87934368858441
Mon 11:15:00,94.87934368858441
Mon 11:20:00,88.08835812555574
Mon 11:25:00,78.86318110599346
Mon 11:30:00,78.86318110599346
Mon 11:35:00,71.53646955440611
Mon 11:40:00,71.53646955440611
Mon 11:45:00,71.53646955440611
Mon 11:50:00,71.53646955440611
Mon 11:55:00,71.53646955440611
Mon 12:00:00,71.53646955440611
Mon 12:05:00,56.670308625172495
Mon 12:10:00,56.670308625172495
Mon 12:15:00,56.670308625172495
Mon 12:20:00,40.74918233871165
Mon 12:25:00,40.74918233871165
Mon 12:30:00,40.74918233871165
Mon 12:35:00,40.74918233871165
Mon 12:40:00,40.74918233871165
Mon 12:45:00,40.74918233871165
Mon 12:50:00,40.74918233871165
Mon 12:55:00,40.74918233871165
Mon 13:00:00,40.74918233871165
Mon 13:05:00,40.74918233871165
Mon 13:10:00,40.74918233871165
Mon 13:15:00,40.74918233871165
Mon 13:20:00,40.74918233871165
Mon 13:25:00,40.74918233871165
Mon 13:30:00,40.74918233871165
Mon 13:35:00,40.74918233871165
Mon 13:40:00,40.74918233871165
Mon 13:45:00,34.45990136345496
Mon 13:50:00,34.45990136345496
Mon 13:55:00,34.45990136345496
Mon 14:00:00,34.45990136345496
Mon 14:05:00,34.45990136345496
Mon 14:10:00,34.45990136345496
