t_stamp,Ruta: San Jose- Desamparados,Ruta: San Jose- Alajuela,Ruta: Uruca-Pavas-Escazu,Ruta: San Jose-Carpio-Uruca,Consumo total (kW)
Mon 00:00:00,2351.010592416454,652.7371899331746,113.78914615227362,139.18772088502678,3256.7246493869293
Mon 00:05:00,2351.010592416454,652.7371899331746,113.78914615227362,139.18772088502678,3256.7246493869293
Mon 00:10:00,2416.1264410329177,596.0940553593368,113.78914615227362,139.18772088502678,3265.197363429555
Mon 00:15:00,2475.979592055874,458.3941430053147,113.78914615227362,139.18772088502678,3187.350602098489
Mon 00:20:00,2407.006721095416,458.3941430053147,113.78914615227362,130.0089433726834,3109.198953625688
Mon 00:25:00,2407.006721095416,458.3941430053147,113.78914615227362,130.0089433726834,3109.198953625688
Mon 00:30:00,2247.006721095416,378.3941430053147,125.55688103441084,130.0089433726834,2880.966688507825
Mon 00:35:00,2470.291569936716,298.3941430053147,125.55688103441084,130.0089433726834,3024.2515373491246
Mon 00:40:00,2470.2915699367154,298.3941430053147,125.55688103441084,130.0089433726834,3024.251537349124
Mon 00:45:00,2695.2602405710204,218.39414300531467,125.55688103441084,130.0089433726834,3169.220207983429
Mon 00:50:00,2695.2602405710204,298.3941430053147,125.55688103441084,130.0089433726834,3249.220207983429
Mon 00:55:00,2855.2602405710204,298.3941430053147,125.55688103441084,130.0089433726834,3409.220207983429
Mon 01:00:00,2615.2602405710204,298.3941430053147,125.55688103441084,130.0089433726834,3169.220207983429
Mon 01:05:00,2615.2602405710204,298.3941430053147,125.55688103441084,147.55242946973382,3186.7636940804796
Mon 01:10:00,2396.37977961608,298.3941430053147,138.38118869778276,147.55242946973382,2980.7075407889115
Mon 01:15:00,2466.039621549068,218.39414300531467,138.38118869778276,154.3434150327625,2977.158368284928
Mon 01:20:00,2505.960583060301,218.39414300531467,138.38118869778276,163.56859205232476,3026.304506815723
Mon 01:25:00,2425.960583060301,218.39414300531467,138.38118869778276,163.56859205232476,2946.304506815723
Mon 01:30:00,2452.0587953360887,218.39414300531467,138.38118869778276,170.8953036039121,2979.729430643098
Mon 01:35:00,2372.0587953360887,160.0,142.3549721145032,170.8953036039121,2845.309071054504
Mon 01:40:00,2292.0587953360887,160.0,140.244230399932,170.8953036039121,2763.1983293399326
Mon 01:45:00,2345.468492042058,240.0,140.244230399932,170.8953036039121,2896.608026045902
Mon 01:50:00,2105.468492042058,320.0,142.68474832594111,170.8953036039121,2739.0485439719114
Mon 01:55:00,2265.468492042058,320.0,142.68474832594111,170.8953036039121,2899.0485439719114
Mon 02:00:00,2324.771998797662,320.0,142.68474832594111,185.76146453314573,2973.2182116567487
Mon 02:05:00,2349.262503374408,240.0,142.68474832594111,185.76146453314573,2917.708716233495
Mon 02:10:00,2429.262503374408,240.0,142.68474832594111,185.76146453314573,2997.708716233495
Mon 02:15:00,2444.146654757945,240.0,142.68474832594111,201.68259081960656,3028.5139939034925
Mon 02:20:00,2384.293503734988,240.0,142.68474832594111,201.68259081960656,2968.6608428805357
Mon 02:25:00,2315.9519986592586,240.0,145.81511362430905,201.68259081960656,2903.449703103174
Mon 02:30:00,2235.9519986592586,240.0,145.81511362430905,201.68259081960656,2823.449703103174
Mon 02:35:00,2235.9519986592586,240.0,145.81511362430905,201.68259081960656,2823.449703103174
Mon 02:40:00,2012.6671498179592,240.0,145.81511362430905,193.32823509326707,2591.8104985355353
Mon 02:45:00,2012.6671498179592,240.0,145.81511362430905,193.32823509326707,2591.8104985355353
Mon 02:50:00,1707.6984791836542,240.0,148.87176973094188,193.32823509326707,2289.898484007863
Mon 02:55:00,1707.6984791836542,160.0,148.87176973094188,193.32823509326707,2209.898484007863
Mon 03:00:00,1531.3646493181136,160.0,148.87176973094188,181.84068419135588,2022.0771032404114
Mon 03:05:00,1515.6737953654936,160.0,148.87176973094188,171.54126210332748,1996.0868271997629
Mon 03:10:00,1435.6737953654936,160.0,140.52568260038333,171.54126210332748,1907.7407400692043
Mon 03:15:00,1515.6737953654936,160.0,140.52568260038333,171.54126210332748,1987.7407400692043
Mon 03:20:00,1384.9168285185724,160.0,140.52568260038333,162.61045545552625,1848.052966574482
Mon 03:25:00,1344.9958670073397,160.0,140.52568260038333,162.61045545552625,1808.1320050632494
Mon 03:30:00,1344.9958670073397,160.0,140.52568260038333,162.61045545552625,1808.1320050632494
Mon 03:35:00,1264.9958670073397,240.0,140.52568260038333,162.61045545552625,1808.1320050632494
Mon 03:40:00,1344.9958670073397,240.0,140.52568260038333,168.89973643078292,1894.421286038506
Mon 03:45:00,1424.9958670073397,240.0,140.52568260038333,168.89973643078292,1974.421286038506
Mon 03:50:00,1291.5861703013695,160.0,140.52568260038333,168.89973643078292,1761.0115893325358
Mon 03:55:00,1291.5861703013695,80.0,140.52568260038333,168.89973643078292,1681.0115893325358
Mon 04:00:00,1131.5861703013695,80.0,140.52568260038333,168.89973643078292,1521.0115893325358
Mon 04:05:00,1072.282663545766,160.0,118.8881060850928,168.89973643078292,1520.0705060616417
Mon 04:10:00,1072.282663545766,160.0,118.8881060850928,168.89973643078292,1520.0705060616417
Mon 04:15:00,992.282663545766,160.0,118.8881060850928,168.89973643078292,1440.0705060616417
Mon 04:20:00,912.282663545766,160.0,118.8881060850928,168.89973643078292,1360.0705060616417
Mon 04:25:00,992.282663545766,160.0,118.8881060850928,168.89973643078292,1440.0705060616417
Mon 04:30:00,1007.975316181839,160.0,118.8881060850928,168.89973643078292,1455.7631586977147
Mon 04:35:00,1007.975316181839,160.0,118.8881060850928,168.89973643078292,1455.7631586977147
Mon 04:40:00,1007.975316181839,160.0,109.1129174075839,168.89973643078292,1445.9879700202057
Mon 04:45:00,1007.975316181839,160.0,109.1129174075839,168.89973643078292,1445.9879700202057
Mon 04:50:00,927.975316181839,160.0,109.1129174075839,168.89973643078292,1365.9879700202057
Mon 04:55:00,1007.975316181839,160.0,109.1129174075839,168.89973643078292,1445.9879700202057
Mon 05:00:00,1069.8090911616569,160.0,101.77442805816008,159.8159689238138,1491.3994881436308
Mon 05:05:00,1166.1429210271976,160.0,101.77442805816008,159.8159689238138,1587.7333180091716
Mon 05:10:00,1101.833774979818,160.0,101.77442805816008,159.8159689238138,1523.424171961792
Mon 05:15:00,1101.833774979818,160.0,101.77442805816008,159.8159689238138,1523.424171961792
Mon 05:20:00,1021.8337749798178,160.0,101.77442805816008,159.8159689238138,1443.4241719617917
Mon 05:25:00,1021.8337749798178,160.0,101.77442805816008,159.8159689238138,1443.4241719617917
Mon 05:30:00,941.8337749798178,160.0,101.77442805816008,173.1928471162382,1376.801050154216
Mon 05:35:00,941.8337749798178,160.0,101.77442805816008,173.1928471162382,1376.801050154216
Mon 05:40:00,941.8337749798178,80.0,95.74606370252646,173.1928471162382,1290.7726857985824
Mon 05:45:00,941.8337749798178,80.0,95.74606370252646,184.2153524312736,1301.7951911136179
Mon 05:50:00,861.8337749798178,80.0,95.74606370252646,184.2153524312736,1221.7951911136179
Mon 05:55:00,861.8337749798178,80.0,95.74606370252646,184.2153524312736,1221.7951911136179
Mon 06:00:00,861.8337749798178,80.0,95.74606370252646,167.39742330140604,1204.9772619837504
Mon 06:05:00,941.8337749798178,80.0,95.74606370252646,167.39742330140604,1284.9772619837504
Mon 06:10:00,941.8337749798178,0.0,95.74606370252646,167.39742330140604,1204.9772619837504
Mon 06:15:00,861.8337749798177,0.0,95.74606370252646,167.39742330140604,1124.9772619837502
Mon 06:20:00,941.8337749798176,0.0,95.74606370252646,167.39742330140604,1204.9772619837502
Mon 06:25:00,941.8337749798176,0.0,101.21239868330991,167.39742330140604,1210.4435969645335
Mon 06:30:00,911.9052479853724,0.0,101.21239868330991,167.39742330140604,1180.5150699700882
Mon 06:35:00,911.9052479853724,0.0,101.21239868330991,167.39742330140604,1180.5150699700882
Mon 06:40:00,991.9052479853724,0.0,101.21239868330991,167.39742330140604,1260.5150699700882
Mon 06:45:00,911.9052479853724,0.0,101.21239868330991,167.39742330140604,1180.5150699700882
Mon 06:50:00,970.571947766564,0.0,101.21239868330991,167.39742330140604,1239.18176975128
Mon 06:55:00,970.571947766564,80.0,101.21239868330991,167.39742330140604,1319.18176975128
Mon 07:00:00,945.4505089265092,80.0,101.21239868330991,167.39742330140604,1294.060330911225
Mon 07:05:00,883.6167339466915,80.0,101.21239868330991,167.39742330140604,1232.2265559314073
Mon 07:10:00,723.6167339466915,80.0,92.92975005491007,167.39742330140604,1063.9439073030076
